year,player,appearance,goals,goals_per_game
2010,Christiano Ronaldo,54,53,0.981481481
2010,Lionel Messi,55,53,0.963636364
2010,Neymar Jr.,60,42,0.7
2010,Karim Benzema,48,26,0.541666667
2010,Luis Suarez,13,4,0.307692308
2010,Antoine Greizmann,39,7,0.179487179
2011,Christiano Ronaldo,55,60,1.090909091
2011,Lionel Messi,60,73,1.216666667
2011,Neymar Jr.,47,43,0.914893617
2011,Karim Benzema,52,32,0.615384615
2011,Luis Suarez,39,17,0.435897436
2011,Antoine Greizmann,38,8,0.210526316
2012,Christiano Ronaldo,55,55,1
2012,Lionel Messi,50,60,1.2
2012,Neymar Jr.,47,43,0.914893617
2012,Karim Benzema,50,20,0.4
2012,Luis Suarez,44,30,0.681818182
2012,Antoine Greizmann,35,11,0.314285714
2013,Christiano Ronaldo,47,51,1.085106383
2013,Lionel Messi,46,41,0.891304348
2013,Neymar Jr.,41,15,0.365853659
2013,Karim Benzema,52,24,0.461538462
2013,Luis Suarez,37,31,0.837837838
2013,Antoine Greizmann,49,20,0.408163265
2014,Christiano Ronaldo,54,61,1.12962963
2014,Lionel Messi,57,58,1.01754386
2014,Neymar Jr.,51,39,0.764705882
2014,Karim Benzema,46,22,0.47826087
2014,Luis Suarez,43,25,0.581395349
2014,Antoine Greizmann,53,25,0.471698113
2015,Christiano Ronaldo,48,51,1.0625
2015,Lionel Messi,49,41,0.836734694
2015,Neymar Jr.,49,31,0.632653061
2015,Karim Benzema,36,28,0.777777778
2015,Luis Suarez,53,59,1.113207547
2015,Antoine Greizmann,54,32,0.592592593
